,us_cc,jp_cc,jp_oc
2010-01,8.5,16.1,17.0
2010-02,9.0,17.0,17.0
2010-03,9.0,17.0,17.0
2010-04,9.0,17.0,17.0
2010-05,9.0,17.0,17.0
2010-06,9.0,17.0,17.0
2010-07,9.0,17.0,17.0
2010-08,9.0,17.0,17.0
2010-09,9.0,17.0,17.0
2010-10,9.0,17.0,17.0
2010-11,9.0,17.0,17.0
2010-12,9.0,17.0,17.0
2011-01,9.0,17.0,17.0
2011-02,9.0,17.0,17.0
2011-03,9.0,17.0,17.0
2011-04,9.0,17.0,17.0
2011-05,9.0,17.0,17.0
2011-06,9.0,17.0,17.0
2011-07,9.0,17.0,17.0
2011-08,9.0,17.0,17.0
2011-09,9.0,17.0,17.0
2011-10,9.0,17.0,17.0
2011-11,9.0,17.0,17.0
2011-12,9.0,17.0,17.0
2012-01,9.0,17.0,17.0
2012-02,9.0,17.0,17.0
2012-03,9.0,17.0,17.0
2012-04,9.0,17.0,17.0
2012-05,9.0,17.0,17.0
2012-06,9.0,17.0,17.0
2012-07,9.0,17.0,17.0
2012-08,9.0,17.0,17.0
2012-09,9.0,17.0,17.0
2012-10,9.0,17.0,17.0
2012-11,9.0,17.0,17.0
2012-12,9.0,17.0,17.0
2013-01,9.0,17.0,17.0
2013-02,9.0,17.0,17.0
2013-03,9.0,17.0,17.0
2013-04,9.0,17.0,17.0
2013-05,9.0,17.0,17.0
2013-06,9.0,17.0,17.0
2013-07,9.0,17.0,17.0
2013-08,9.0,17.0,17.0
2013-09,9.0,17.0,17.0
2013-10,9.0,17.0,17.0
2013-11,9.0,17.0,17.0
2013-12,9.0,17.0,17.0
2014-01,9.0,17.0,17.0
2014-02,9.0,17.0,17.0
2014-03,9.0,17.0,17.0
2014-04,9.0,17.0,17.0
2014-05,9.0,17.0,17.0
2014-06,9.0,17.0,17.0
2014-07,9.0,17.0,17.0
2014-08,9.0,17.0,17.0
2014-09,9.0,17.0,17.0
2014-10,9.0,17.0,17.0
2014-11,9.0,17.0,17.0
2014-12,9.0,17.0,17.0
2015-01,9.0,16.9,17.0
2015-02,9.0,17.0,17.0
2015-03,9.0,17.0,17.0
2015-04,9.0,17.0,17.0
2015-05,9.0,17.0,17.0
2015-06,9.0,17.0,17.0
2015-07,9.0,17.0,17.0
2015-08,9.0,17.0,17.0
2015-09,9.0,17.0,17.0
2015-10,9.7,17.0,17.0
2015-11,10.0,17.0,17.0
2015-12,10.0,17.0,17.0
2016-01,10.0,17.0,17.0
2016-02,10.0,17.0,17.0
2016-03,10.0,17.0,17.0
2016-04,10.0,17.0,17.0
2016-05,10.0,17.0,17.0
2016-06,10.0,17.0,17.0
2016-07,10.0,17.0,17.0
2016-08,10.0,17.0,17.0
2016-09,10.0,17.0,17.0
2016-10,10.0,17.0,17.0
2016-11,10.0,17.0,17.0
2016-12,10.0,17.0,17.0
2017-01,10.0,17.0,17.0
2017-02,10.0,17.0,17.0
2017-03,10.0,17.0,17.0
2017-04,10.0,17.0,17.0
2017-05,10.0,17.0,17.0
2017-06,10.0,17.0,17.0
2017-07,10.0,17.0,17.0
2017-08,10.0,17.0,17.0
2017-09,10.0,17.0,17.0
2017-10,10.0,17.0,17.0
