,us,jp
2010-01,19,19
2010-02,19,19
2010-03,23,22
2010-04,21,21
2010-05,20,18
2010-06,22,22
2010-07,21,20
2010-08,22,22
2010-09,21,19
2010-10,21,20
2010-11,21,20
2010-12,22,21
2011-01,20,19
2011-02,19,19
2011-03,23,22
2011-04,20,20
2011-05,21,19
2011-06,22,22
2011-07,20,20
2011-08,23,23
2011-09,21,20
2011-10,21,20
2011-11,21,20
2011-12,21,21
2012-01,20,19
2012-02,20,21
2012-03,22,21
2012-04,20,20
2012-05,22,21
2012-06,21,21
2012-07,21,21
2012-08,23,23
2012-09,19,19
2012-10,21,22
2012-11,21,21
2012-12,20,19
2013-01,21,19
2013-02,19,19
2013-03,20,20
2013-04,22,21
2013-05,22,21
2013-06,20,20
2013-07,22,22
2013-08,22,22
2013-09,20,19
2013-10,23,22
2013-11,20,20
2013-12,21,20
2014-01,21,19
2014-02,19,19
2014-03,21,20
2014-04,21,21
2014-05,21,20
2014-06,21,21
2014-07,22,22
2014-08,21,21
2014-09,21,20
2014-10,23,22
2014-11,19,18
2014-12,22,21
2015-01,20,19
2015-02,19,19
2015-03,22,22
2015-04,21,21
2015-05,20,18
2015-06,22,22
2015-07,22,22
2015-08,21,21
2015-09,21,19
2015-10,22,21
2015-11,20,19
2015-12,22,21
2016-01,19,19
2016-02,20,20
2016-03,22,22
2016-04,21,20
2016-05,21,19
2016-06,22,22
2016-07,20,20
2016-08,23,22
2016-09,21,20
2016-10,21,20
2016-11,21,20
2016-12,21,21
2017-01,20,19
2017-02,19,20
2017-03,23,22
2017-04,19,20
2017-05,22,20
2017-06,22,22
2017-07,20,20
2017-08,23,23
2017-09,20,21
2017-10,22,22
2017-11,21,22
2017-12,20,21
2018-01,21,23
2018-02,19,20
2018-03,21,22
2018-04,21,21
2018-05,22,23
2018-06,21,21
2018-07,21,22
2018-08,23,23
2018-09,19,20
2018-10,23,23
2018-11,21,22
2018-12,19,21
2019-01,21,19
2019-02,19,19
2019-03,21,20
2019-04,21,20
2019-05,22,19
2019-06,20,20
2019-07,22,22
2019-08,22,21
2019-09,20,19
2019-10,23,21
2019-11,20,20
2019-12,21,21
2020-01,21,19
2020-02,19,18
2020-03,22,21
2020-04,21,21
2020-05,20,18
2020-06,22,22
2020-07,22,21
2020-08,21,20
2020-09,21,20
2020-10,22,21
2020-11,20,19
2020-12,22,22
2021-01,19,19
2021-02,19,18
2021-03,23,23
2021-04,21,21
2021-05,20,18
2021-06,22,22
2021-07,21,20
2021-08,22,21
2021-09,21,20
2021-10,21,21
2021-11,21,20
2021-12,22,22
2022-01,20,19
2022-02,19,18
2022-03,23,22
2022-04,20,20
2022-05,21,19
2022-06,21,22
2022-07,20,20
2022-08,23,22
2022-09,21,20
2022-10,21,20
2022-11,21,20
2022-12,21,22
2023-01,20,19
2023-02,19,19
2023-03,23,22
2023-04,19,20
2023-05,22,20
2023-06,21,22
2023-07,20,20
2023-08,23,22
2023-09,20,20
2023-10,22,21
2023-11,21,20
2023-12,20,21
2024-01,21,19
2024-02,20,19
2024-03,20,20
2024-04,22,21
2024-05,22,21
2024-06,19,20
2024-07,22,22
2024-08,22,21
2024-09,20,19
2024-10,23,22
2024-11,20,20
2024-12,21,21
2025-01,20,19
2025-02,19,18
2025-03,21,20
2025-04,21,21
2025-05,21,20
2025-06,20,21
2025-07,22,22
2025-08,21,20
2025-09,21,20
2025-10,23,22
2025-11,19,18
2025-12,22,22
2026-01,20,19
2026-02,19,18
2026-03,22,21
2026-04,21,21
2026-05,20,18
2026-06,21,22
2026-07,22,22
2026-08,20,20
