[01:30:54] 価格データを取得中…
[01:30:57] ⚠ 一部の銘柄で値が揃っていない月が 102 件あります:
         us_close_any  us_close_all  jp_close_any  jp_close_all  jp_open_any  jp_open_all
2010-01            19             0            19            19           19           19
2010-02            19             0            19            19           19           19
2010-03            23             0            22            22           22           22
2010-04            21             0            21            21           21           21
2010-05            20             0            18            18           18           18
2010-06            22             0            22            22           22           22
2010-07            21             0            20            20           20           20
2010-08            22             0            22            22           22           22
2010-09            21             0            19            19           19           19
2010-10            21             0            20            20           20           20
2010-11            21             0            20            20           20           20
2010-12            22             0            21            21           21           21
2011-01            20             0            19            19           19           19
2011-02            19             0            19            19           19           19
2011-03            23             0            22            22           22           22
2011-04            20             0            20            20           20           20
2011-05            21             0            19            19           19           19
2011-06            22             0            22            22           22           22
2011-07            20             0            20            20           20           20
2011-08            23             0            23            23           23           23
2011-09            21             0            20            20           20           20
2011-10            21             0            20            20           20           20
2011-11            21             0            20            20           20           20
2011-12            21             0            21            21           21           21
2012-01            20             0            19            19           19           19
2012-02            20             0            21            21           21           21
2012-03            22             0            21            21           21           21
2012-04            20             0            20            20           20           20
2012-05            22             0            21            21           21           21
2012-06            21             0            21            21           21           21
2012-07            21             0            21            21           21           21
2012-08            23             0            23            23           23           23
2012-09            19             0            19            19           19           19
2012-10            21             0            22            22           22           22
2012-11            21             0            21            21           21           21
2012-12            20             0            19            19           19           19
2013-01            21             0            19            19           19           19
2013-02            19             0            19            19           19           19
2013-03            20             0            20            20           20           20
2013-04            22             0            21            21           21           21
2013-05            22             0            21            21           21           21
2013-06            20             0            20            20           20           20
2013-07            22             0            22            22           22           22
2013-08            22             0            22            22           22           22
2013-09            20             0            19            19           19           19
2013-10            23             0            22            22           22           22
2013-11            20             0            20            20           20           20
2013-12            21             0            20            20           20           20
2014-01            21             0            19            19           19           19
2014-02            19             0            19            19           19           19
2014-03            21             0            20            20           20           20
2014-04            21             0            21            21           21           21
2014-05            21             0            20            20           20           20
2014-06            21             0            21            21           21           21
2014-07            22             0            22            22           22           22
2014-08            21             0            21            21           21           21
2014-09            21             0            20            20           20           20
2014-10            23             0            22            22           22           22
2014-11            19             0            18            18           18           18
2014-12            22             0            21            21           21           21
2015-01            20             0            19            19           19           19
2015-02            19             0            19            19           19           19
2015-03            22             0            22            22           22           22
2015-04            21             0            21            21           21           21
2015-05            20             0            18            18           18           18
2015-06            22             0            22            22           22           22
2015-07            22             0            22            22           22           22
2015-08            21             0            21            21           21           21
2015-09            21             0            19            19           19           19
2015-10            22             0            21            21           21           21
2015-11            20             0            19            19           19           19
2015-12            22             0            21            21           21           21
2016-01            19             0            19            19           19           19
2016-02            20             0            20            20           20           20
2016-03            22             0            22            22           22           22
2016-04            21             0            20            20           20           20
2016-05            21             0            19            19           19           19
2016-06            22             0            22            22           22           22
2016-07            20             0            20            20           20           20
2016-08            23             0            22            22           22           22
2016-09            21             0            20            20           20           20
2016-10            21             0            20            20           20           20
2016-11            21             0            20            20           20           20
2016-12            21             0            21            21           21           21
2017-01            20             0            19            19           19           19
2017-02            19             0            20            20           20           20
2017-03            23             0            22            22           22           22
2017-04            19             0            20            20           20           20
2017-05            22             0            20            20           20           20
2017-06            22             0            22            22           22           22
2017-07            20             0            20            20           20           20
2017-08            23             0            23            23           23           23
2017-09            20             0            21            21           21           21
2017-10            22             0            22            22           22           22
2017-11            21             0            22            22           22           22
2017-12            20             0            21            21           21           21
2018-01            21             0            23            23           23           23
2018-02            19             0            20            20           20           20
2018-03            21             0            22            22           22           22
2018-04            21             0            21            21           21           21
2018-05            22             0            23            23           23           23
2018-06            21             9            21            21           21           21
[01:30:57] ⚠ 共通営業日が 1 箇所で 10 日以上飛んでいます:
[01:30:57]    2019-05-07 の直前に 11 日の空白
[01:30:57] --data-only のためここで終了します
