Strategy,cost_bps,AR,RISK,R/R,MDD,t(NW)
PCA_SUB,0.0,20.1,11.52,1.75,40.21,5.29
DOUBLE,0.0,14.78,11.88,1.24,29.23,4.1
MOM,0.0,4.17,11.04,0.38,17.74,1.27
PCA_SUB,2.0,9.14,11.55,0.79,45.19,2.39
DOUBLE,2.0,3.1,11.89,0.26,36.79,0.86
MOM,2.0,1.65,11.04,0.15,21.33,0.5
PCA_SUB,5.0,-7.3,11.66,-0.63,71.57,-1.89
DOUBLE,5.0,-14.42,11.92,-1.21,82.14,-3.96
MOM,5.0,-2.13,11.03,-0.19,39.88,-0.65
PCA_SUB,10.0,-34.69,11.96,-2.9,97.79,-8.76
DOUBLE,10.0,-43.61,12.05,-3.62,99.16,-11.78
MOM,10.0,-8.43,11.03,-0.76,66.06,-2.58
PCA_SUB,20.0,-89.49,12.99,-6.89,99.99,-20.96
DOUBLE,20.0,-102.0,12.58,-8.11,100.0,-26.14
MOM,20.0,-21.02,11.05,-1.9,90.67,-6.41
