K,lambda,AR,R/R,MDD
2,0.0,-0.0,-0.0,40.78
2,0.3,0.02,0.002,33.78
2,0.5,-0.44,-0.045,39.11
2,0.7,-0.21,-0.022,35.91
2,0.9,-1.17,-0.12,38.52
2,0.95,-1.9,-0.194,41.68
2,1.0,2.21,0.231,23.0
3,0.0,5.43,0.505,23.65
3,0.3,8.88,0.818,20.93
3,0.5,14.71,1.316,14.56
3,0.7,22.36,1.926,30.76
3,0.9,20.1,1.746,40.21
3,0.95,19.99,1.734,40.82
3,1.0,19.87,1.77,34.7
4,0.0,2.74,0.268,25.5
4,0.3,5.21,0.504,35.08
4,0.5,10.38,0.983,36.34
4,0.7,11.8,1.105,35.19
4,0.9,10.27,0.951,29.46
4,0.95,10.24,0.949,25.54
4,1.0,15.98,1.561,35.38
5,0.0,0.33,0.033,26.82
5,0.3,4.5,0.439,30.43
5,0.5,9.2,0.899,26.24
5,0.7,9.38,0.934,26.87
5,0.9,8.84,0.874,21.78
5,0.95,8.05,0.794,21.11
5,1.0,16.76,1.692,22.92
