Ticker,Market,Ret(%),Vol(%),Ret/Vol,Skew,Kurtosis,N
XLB,US,11.98,20.85,0.57,-0.23,7.09,3950
XLC,US,14.69,22.22,0.66,-0.3,6.95,1934
XLE,US,8.43,27.04,0.31,-0.47,13.43,3950
XLF,US,13.8,21.89,0.63,-0.24,11.79,3950
XLI,US,14.8,19.47,0.76,-0.25,10.67,3950
XLK,US,21.28,22.13,0.96,-0.03,9.51,3950
XLP,US,11.48,13.83,0.83,-0.18,12.18,3950
XLRE,US,10.29,20.35,0.51,-0.65,15.57,2585
XLU,US,12.25,17.45,0.7,0.08,15.11,3950
XLV,US,14.9,16.31,0.91,-0.23,7.24,3950
XLY,US,16.87,20.38,0.83,-0.36,7.88,3950
1617.T,JP,10.81,17.32,0.62,-0.35,5.44,3948
1618.T,JP,14.13,28.2,0.5,-0.1,4.65,3948
1619.T,JP,12.41,20.74,0.6,0.16,9.98,3948
1620.T,JP,10.67,20.55,0.52,-0.37,5.65,3948
1621.T,JP,10.56,19.4,0.54,-0.06,4.21,3948
1622.T,JP,10.35,25.1,0.41,-0.01,3.62,3948
1623.T,JP,11.5,30.86,0.37,0.22,12.02,3948
1624.T,JP,14.58,25.12,0.58,-0.29,3.76,3948
1625.T,JP,15.67,24.69,0.63,-0.13,5.2,3948
1626.T,JP,12.58,19.83,0.63,-0.2,9.16,3948
1627.T,JP,3.71,23.71,0.16,-0.23,7.23,3948
1628.T,JP,8.1,20.1,0.4,-0.29,13.17,3948
1629.T,JP,15.46,23.13,0.67,-0.44,9.96,3946
1630.T,JP,11.78,18.89,0.62,-0.68,19.08,3948
1631.T,JP,15.96,27.03,0.59,-0.34,10.93,3948
1632.T,JP,15.18,27.5,0.55,-0.19,10.27,3948
1633.T,JP,9.26,28.11,0.33,0.42,14.17,3948
