K,lambda,半減期,期間,AR,RISK,R/R,MDD,t(NW),回転率,損益分岐bp,N
3,0.3,なし,全期間,10.499,10.948,0.959,20.933,3.195,2.563,1.626,2771.0
3,0.3,なし,〜2023,9.799,9.588,1.022,20.933,2.95,2.572,1.512,2144.0
3,0.3,なし,2024〜,12.891,14.684,0.878,12.591,1.38,2.53,2.022,627.0
3,0.3,なし,2026〜,5.432,21.223,0.256,8.606,0.201,2.352,0.916,159.0
3,0.3,5.0,全期間,4.475,10.569,0.423,36.849,1.404,1.114,1.594,2771.0
3,0.3,5.0,〜2023,4.387,9.448,0.464,36.849,1.295,1.112,1.565,2144.0
3,0.3,5.0,2024〜,4.775,13.735,0.348,22.57,0.581,1.12,1.691,627.0
3,0.3,5.0,2026〜,18.037,20.137,0.896,13.95,0.722,0.903,7.925,159.0
3,0.5,なし,全期間,16.664,11.218,1.485,13.395,4.772,2.48,2.666,2771.0
3,0.5,なし,〜2023,16.857,9.786,1.723,13.395,4.705,2.507,2.668,2144.0
3,0.5,なし,2024〜,16.003,15.133,1.058,10.569,1.678,2.387,2.661,627.0
3,0.5,なし,2026〜,5.841,21.542,0.271,8.877,0.222,2.252,1.029,159.0
3,0.5,5.0,全期間,6.046,10.965,0.551,21.492,1.876,1.1,2.18,2771.0
3,0.5,5.0,〜2023,7.096,9.886,0.718,21.492,2.003,1.112,2.532,2144.0
3,0.5,5.0,2024〜,2.455,14.05,0.175,17.827,0.324,1.061,0.918,627.0
3,0.5,5.0,2026〜,6.679,21.076,0.317,12.642,0.296,1.011,2.621,159.0
3,0.7,なし,全期間,22.959,11.598,1.98,26.371,6.096,2.28,3.995,2771.0
3,0.7,なし,〜2023,30.156,10.14,2.974,11.755,8.188,2.286,5.236,2144.0
3,0.7,なし,2024〜,-1.652,15.496,-0.107,26.371,-0.164,2.263,-0.29,627.0
3,0.7,なし,2026〜,-34.698,21.754,-1.595,26.371,-1.267,2.314,-5.949,159.0
3,0.7,5.0,全期間,9.55,10.988,0.869,31.593,2.88,1.083,3.499,2771.0
3,0.7,5.0,〜2023,14.203,10.022,1.417,15.651,4.149,1.067,5.284,2144.0
3,0.7,5.0,2024〜,-6.36,13.753,-0.462,31.593,-0.763,1.139,-2.215,627.0
3,0.7,5.0,2026〜,-45.286,19.971,-2.268,31.593,-1.908,1.323,-13.581,159.0
3,0.9,なし,全期間,20.077,11.522,1.742,39.729,5.333,2.17,3.671,2771.0
3,0.9,なし,〜2023,27.877,10.47,2.663,8.407,7.817,2.185,5.062,2144.0
3,0.9,なし,2024〜,-6.596,14.439,-0.457,39.729,-0.652,2.118,-1.236,627.0
3,0.9,なし,2026〜,-63.454,20.608,-3.079,39.729,-2.256,2.319,-10.856,159.0
3,0.9,5.0,全期間,5.637,10.911,0.517,37.439,1.628,1.0,2.237,2771.0
3,0.9,5.0,〜2023,10.692,10.065,1.062,21.619,2.985,0.996,4.26,2144.0
3,0.9,5.0,2024〜,-11.651,13.36,-0.872,37.439,-1.327,1.013,-4.564,627.0
3,0.9,5.0,2026〜,-61.451,17.186,-3.576,34.152,-3.457,1.426,-17.096,159.0
3,0.95,なし,全期間,19.751,11.498,1.718,42.651,5.247,2.156,3.635,2771.0
3,0.95,なし,〜2023,27.421,10.409,2.634,9.017,7.775,2.172,5.01,2144.0
3,0.95,なし,2024〜,-6.476,14.512,-0.446,42.651,-0.627,2.101,-1.223,627.0
3,0.95,なし,2026〜,-75.321,20.2,-3.729,42.651,-2.725,2.352,-12.707,159.0
