,rho_mean,abs_rho_mean,flip_share(%),N,IC,IC_t,IC_N
素/HL=なし,0.031,0.882,48.592,2770.0,,,2771.0
素/HL=1.0,0.367,0.887,31.769,2770.0,,,2771.0
素/HL=2.0,0.532,0.897,23.249,2770.0,,,2771.0
素/HL=3.0,0.629,0.904,18.556,2770.0,,,2771.0
素/HL=5.0,0.719,0.913,13.791,2770.0,,,2771.0
素/HL=10.0,0.814,0.924,8.953,2770.0,,,2771.0
素/HL=20.0,0.88,0.937,5.523,2770.0,,,2771.0
z化/HL=なし,0.031,0.882,48.592,2770.0,,,2771.0
z化/HL=1.0,0.155,0.795,43.935,2770.0,,,2771.0
z化/HL=2.0,0.456,0.791,26.209,2770.0,,,2771.0
z化/HL=3.0,0.572,0.802,20.144,2770.0,,,2771.0
z化/HL=5.0,0.678,0.83,14.079,2770.0,,,2771.0
z化/HL=10.0,0.79,0.855,7.365,2770.0,,,2771.0
z化/HL=20.0,0.873,0.884,2.166,2770.0,,,2771.0
