標準化,半減期,コストbp,期間,AR,RISK,R/R,MDD,t(NW),回転率,損益分岐bp,N
素,なし,0.0,全期間,20.077,11.522,1.742,39.729,5.333,2.17,3.671,2771.0
素,なし,0.0,〜2023,27.877,10.47,2.663,8.407,7.817,2.185,5.062,2144.0
素,なし,0.0,2024〜,-6.596,14.439,-0.457,39.729,-0.652,2.118,-1.236,627.0
素,なし,0.0,2026〜,-63.454,20.608,-3.079,39.729,-2.256,2.319,-10.856,159.0
素,なし,5.0,全期間,-7.266,11.651,-0.624,72.14,-1.899,2.17,3.671,2771.0
素,なし,5.0,〜2023,0.343,10.612,0.032,34.922,0.094,2.185,5.062,2144.0
素,なし,5.0,2024〜,-33.283,14.55,-2.287,58.19,-3.238,2.118,-1.236,627.0
素,なし,5.0,2026〜,-92.68,20.652,-4.488,47.45,-3.274,2.319,-10.856,159.0
素,なし,10.0,全期間,-34.609,11.941,-2.898,97.977,-8.811,2.17,3.671,2771.0
素,なし,10.0,〜2023,-27.192,10.926,-2.489,90.803,-7.215,2.185,5.062,2144.0
素,なし,10.0,2024〜,-59.97,14.797,-4.053,78.215,-5.7,2.118,-1.236,627.0
素,なし,10.0,2026〜,-121.905,20.8,-5.861,55.442,-4.267,2.319,-10.856,159.0
素,なし,20.0,全期間,-89.294,12.955,-6.893,99.995,-21.071,2.17,3.671,2771.0
素,なし,20.0,〜2023,-82.26,12.014,-6.847,99.916,-19.763,2.185,5.062,2144.0
素,なし,20.0,2024〜,-113.344,15.67,-7.233,94.273,-10.119,2.118,-1.236,627.0
素,なし,20.0,2026〜,-180.357,21.399,-8.428,69.095,-6.15,2.319,-10.856,159.0
素,3.0,0.0,全期間,14.343,11.227,1.278,32.179,4.141,0.971,5.864,2771.0
素,3.0,0.0,〜2023,20.371,10.218,1.994,13.87,5.487,0.965,8.373,2144.0
素,3.0,0.0,2024〜,-6.269,14.076,-0.445,32.179,-0.777,0.988,-2.517,627.0
素,3.0,0.0,2026〜,-45.143,19.529,-2.312,28.232,-1.926,1.358,-13.186,159.0
素,3.0,5.0,全期間,2.113,11.246,0.188,42.736,0.6,0.971,5.864,2771.0
素,3.0,5.0,〜2023,8.206,10.195,0.805,24.267,2.188,0.965,8.373,2144.0
素,3.0,5.0,2024〜,-18.72,14.199,-1.318,40.608,-2.246,0.988,-2.517,627.0
素,3.0,5.0,2026〜,-62.26,19.651,-3.168,34.33,-2.607,1.358,-13.186,159.0
素,3.0,10.0,全期間,-10.117,11.376,-0.889,80.905,-2.786,0.971,5.864,2771.0
素,3.0,10.0,〜2023,-3.959,10.29,-0.385,58.901,-1.03,0.965,8.373,2144.0
素,3.0,10.0,2024〜,-31.172,14.418,-2.162,56.022,-3.586,0.988,-2.517,627.0
素,3.0,10.0,2026〜,-79.377,19.864,-3.996,40.957,-3.242,1.358,-13.186,159.0
素,3.0,20.0,全期間,-34.576,11.948,-2.894,98.009,-8.709,0.971,5.864,2771.0
素,3.0,20.0,〜2023,-28.289,10.818,-2.615,91.93,-6.762,0.965,8.373,2144.0
素,3.0,20.0,2024〜,-56.074,15.123,-3.708,76.331,-5.822,0.988,-2.517,627.0
素,3.0,20.0,2026〜,-113.611,20.546,-5.529,52.327,-4.34,1.358,-13.186,159.0
素,5.0,0.0,全期間,14.041,11.327,1.24,19.918,4.226,0.794,7.021,2771.0
素,5.0,0.0,〜2023,19.156,10.237,1.871,12.742,5.326,0.803,9.467,2144.0
素,5.0,0.0,2024〜,-3.449,14.402,-0.24,19.918,-0.434,0.762,-1.797,627.0
